date,lower,upper
1959-1,314.9832266,316.7483224
1959-2,315.4558643,316.5369878
1959-3,315.8727362,317.9158419
1959-4,317.3080222,318.0256526
1959-5,317.2554177,318.8666836
1959-6,317.0020882,318.736544
1959-7,315.0232215,316.7075169
1959-8,313.5502417,315.9298034
1959-9,312.1670723,313.7378564
1959-10,311.7551489,314.2771961
1959-11,313.8279622,315.7393971
1959-12,315.1452349,316.2368234
1960-1,315.5339191,317.2325182
1960-2,315.9303139,316.9920297
1960-3,317.2650257,317.6852914
1960-4,317.8585961,319.2403598
1960-5,318.5341861,321.3279306
1960-6,318.1903953,319.5487999
1960-7,317.6556545,319.2898799
1960-8,315.4237828,317.0772955
1960-9,312.5660408,314.9524791
1960-10,312.4853434,314.42471
1960-11,314.6345673,315.2080336
1960-12,315.8456201,316.7950263
1961-1,315.88211,317.8021191
1961-2,315.952897,317.8271572
1961-3,317.0494424,319.2109214
1961-4,318.0933505,320.7201445
1961-5,319.6317081,320.8705283
1961-6,319.4307331,320.5431662
1961-7,317.6834286,319.4468632
1961-8,315.5419503,317.3650332
1961-9,314.5909969,315.1600827
1961-10,314.0369049,316.5880287
1961-11,315.8926578,316.4010624
1961-12,315.7678537,317.2645518
1962-1,317.5711699,318.9033468
1962-2,317.6657274,318.6956141
1962-3,318.8925329,320.8860203
1962-4,319.5962143,321.3289516
1962-5,319.8410936,321.8227013
1962-6,318.9468287,320.9477374
1962-7,318.1001224,320.5541451
1962-8,316.9132351,318.6651007
1962-9,315.5437238,316.5573791
1962-10,314.3050996,316.7177984
1962-11,316.5081882,316.6999531
1962-12,315.967495,318.0552334
1963-1,317.7904679,319.4249599
1963-2,318.7577849,320.5139794
1963-3,319.2541063,320.4715135
1963-4,320.1029719,322.6911879
1963-5,321.0143561,323.6106149
1963-6,321.2137287,322.6596685
1963-7,319.2805528,319.8418101
1963-8,316.1722314,317.8005144
1963-9,315.6678458,316.1485223
1963-10,314.7755887,316.3554233
1963-11,315.7941756,317.7110339
1963-12,317.8235782,318.3028493
