date,CO2,rolling,monthsine,monthcosine
1959-1,315.42,315.42,0.5,0.866025404
1959-2,316.31,315.865,0.866025404,0.5
1959-3,316.5,316.0766667,1,6.12E-17
1959-4,317.56,316.4475,0.866025404,-0.5
1959-5,318.13,316.784,0.5,-0.866025404
1959-6,318,316.9866667,1.22E-16,-1
1959-7,316.39,316.9014286,-0.5,-0.866025404
1959-8,314.65,316.62,-0.866025404,-0.5
1959-9,313.68,316.2933333,-1,-1.84E-16
1959-10,313.18,315.982,-0.866025404,0.5
1959-11,314.66,315.8618182,-0.5,0.866025404
1959-12,315.43,315.8627273,-2.45E-16,1
1960-1,316.27,315.8590909,0.5,0.866025404
1960-2,316.81,315.8872727,0.866025404,0.5
1960-3,317.42,315.8745455,1,6.12E-17
1960-4,318.87,315.9418182,0.866025404,-0.5
1960-5,319.87,316.1118182,0.5,-0.866025404
1960-6,319.43,316.3881818,1.22E-16,-1
1960-7,318.01,316.6936364,-0.5,-0.866025404
1960-8,315.74,316.8809091,-0.866025404,-0.5
1960-9,314,316.9554545,-1,-1.84E-16
1960-10,313.68,316.8663636,-0.866025404,0.5
1960-11,314.84,316.8127273,-0.5,0.866025404
1960-12,316.03,316.7909091,-2.45E-16,1
1961-1,316.73,316.7836364,0.5,0.866025404
1961-2,317.54,316.7945455,0.866025404,0.5
1961-3,318.38,316.75,1,6.12E-17
1961-4,319.31,316.6990909,0.866025404,-0.5
1961-5,320.42,316.7890909,0.5,-0.866025404
1961-6,319.61,316.9345455,1.22E-16,-1
1961-7,318.42,317.1781818,-0.5,-0.866025404
1961-8,316.63,317.4172727,-0.866025404,-0.5
1961-9,314.83,317.5218182,-1,-1.84E-16
1961-10,315.16,317.5509091,-0.866025404,0.5
1961-11,315.94,317.5427273,-0.5,0.866025404
1961-12,316.85,317.5536364,-2.45E-16,1
1962-1,317.78,317.5754545,0.5,0.866025404
1962-2,318.4,317.5772727,0.866025404,0.5
1962-3,319.53,317.5972727,1,6.12E-17
1962-4,320.42,317.5972727,0.866025404,-0.5
1962-5,320.85,317.71,0.5,-0.866025404
1962-6,320.45,317.8945455,1.22E-16,-1
1962-7,319.45,318.1509091,-0.5,-0.866025404
1962-8,317.25,318.3709091,-0.866025404,-0.5
1962-9,316.11,318.4572727,-1,-1.84E-16
1962-10,315.27,318.3963636,-0.866025404,0.5
1962-11,316.53,318.3672727,-0.5,0.866025404
1962-12,317.53,318.3445455,-2.45E-16,1
1963-1,318.58,318.3609091,0.5,0.866025404
1963-2,318.92,318.3054545,0.866025404,0.5
1963-3,319.7,318.24,1,6.12E-17
1963-4,321.22,318.2736364,0.866025404,-0.5
1963-5,322.08,318.4218182,0.5,-0.866025404
