date,Lagged_Return_1d,High_Low_Range,Volatility_5d,Volatility_20d,Momentum_1d,Momentum_3d,High,Low
1/30/2019,-0.008810446,0.258847874,0.0082464,0.008960842,0.184890747,0.129423141,14.74509811,14.48625024
1/31/2019,0.012698359,0.157157855,0.009011834,0.008697851,-0.101690292,-0.046221733,14.68963088,14.53247302
2/1/2019,-0.006896549,0.203380909,0.006874989,0.007127879,-0.231114388,-0.147913933,14.52322824,14.31984733
2/4/2019,-0.015782828,0.305070905,0.008537877,0.006722545,0.083200455,-0.249604225,14.53247215,14.22740125
2/5/2019,0.005772881,0.194136127,0.007246989,0.00677644,0.027734756,-0.120179176,14.58794039,14.39380427
2/6/2019,0.001913336,0.110934803,0.007515043,0.00664762,-0.009244919,0.101690292,14.55096199,14.44002719
2/7/2019,-0.000636561,0.32356049,0.011966601,0.008040472,-0.277338028,-0.25884819,14.48624966,14.16268917
2/8/2019,-0.019108333,0.129423492,0.012032193,0.007893487,0.083201408,-0.203381538,14.31984711,14.19042362
2/11/2019,0.005844172,0.110935688,0.009942617,0.007988592,0.157158852,-0.036977768,14.57869686,14.46776117
2/12/2019,0.010974897,0.101690889,0.008777493,0.007969979,0.323558807,0.563919067,14.81905434,14.71736345
2/13/2019,0.022349843,0.184892215,0.009423188,0.008363411,0.064712524,0.545430183,15.04092472,14.8560325
2/14/2019,0.004372301,0.221869648,0.009075556,0.00865602,0.258852005,0.647123337,15.1518619,14.92999225
2/15/2019,0.017413197,0.17564743,0.00879712,0.008663832,0.138665199,0.462229729,15.34599582,15.17034839
2/19/2019,0.009168475,0.110933936,0.008459912,0.008653704,0.110936165,0.508453369,15.40146503,15.29053109
2/20/2019,0.007268405,0.110935688,0.00845045,0.00829993,0.101689339,0.351290703,15.48466479,15.3737291
2/21/2019,0.006614487,0.175647445,0.007049892,0.00851672,-0.018488884,0.19413662,15.59560117,15.41995373
2/22/2019,-0.001194726,0.175647439,0.005355218,0.008597081,0.25884819,0.342048645,15.72502409,15.54937665
2/25/2019,0.016746415,0.083199561,0.00540325,0.00798126,0.064711571,0.305070877,15.83595784,15.75275828
2/26/2019,0.004117618,0.120180474,0.005569739,0.0077901,-0.083201408,0.240358353,15.75275819,15.63257772
2/27/2019,-0.005272422,0.101690904,0.005222746,0.007645053,0.064712524,0.046222687,15.79898114,15.69729024
2/28/2019,0.004122529,0.184892229,0.004284568,0.007476844,-0.342048645,-0.360537529,15.4846651,15.29977287
3/1/2019,-0.021700838,0.26809355,0.003124936,0.007669186,0.055466652,-0.221869469,15.65106744,15.38297389
3/4/2019,0.00359707,0.184892244,0.00393129,0.007683792,0.120182037,-0.166399956,15.71578076,15.53088852
3/5/2019,0.007765995,0.221869616,0.004091475,0.006948628,-0.1016922,0.07395649,15.62333334,15.40146372
3/6/2019,-0.006520569,0.351293122,0.004579606,0.006822708,-0.064711571,-0.046221733,15.62333352,15.2720404
3/7/2019,-0.004176581,0.434496196,0.010959654,0.00888777,-0.351295471,-0.517699242,15.5031542,15.06865801
3/8/2019,-0.022768226,0.203380049,0.010932957,0.008396135,-0.147912025,-0.563919067,15.07790385,14.8745238
3/11/2019,-0.009809854,0.388272292,0.017438828,0.009834713,0.406762123,-0.092445374,15.36448726,14.97621496
3/12/2019,0.027244633,0.369782664,0.020715955,0.010845854,0.36978054,0.628630638,15.78973475,15.41995209
3/13/2019,0.024110745,0.092446112,0.020205259,0.010854094,0.147913933,0.924456596,15.85444736,15.76200125
3/14/2019,0.009417351,0.212624821,0.014770899,0.010795993,-0.166402817,0.351291656,15.86369198,15.65106716
3/15/2019,-0.010495655,0.147913087,0.014292133,0.010434185,-0.11093235,-0.129421234,15.68804613,15.54013304
3/18/2019,-0.007071139,0.231114386,0.011870222,0.010743194,0.286579132,0.009243965,15.86369133,15.63257694
3/19/2019,0.018397449,0.120178712,0.008150456,0.010734908,-0.083200455,0.092446327,15.85444741,15.7342687
3/20/2019,-0.00524471,0.231114406,0.007975816,0.010720904,-0.120178223,0.083200455,15.75275877,15.52164436
3/21/2019,-0.00761562,0.166402654,0.006439282,0.010643079,-0.157157898,-0.360536575,15.52164433,15.35524168
3/22/2019,-0.010035425,0.268093577,0.009107352,0.010883504,-0.286581993,-0.563918114,15.48466634,15.21657276
3/25/2019,-0.018485398,0.129425276,0.007308555,0.010926798,-0.07395649,-0.517696381,15.198085,15.06865973
3/26/2019,-0.004860259,0.166402654,0.007666207,0.010988157,0.203380585,-0.157157898,15.4199534,15.25355074
3/27/2019,0.013431007,0.221869636,0.008821335,0.011255598,-0.120179176,0.009244919,15.4291995,15.20732987
3/28/2019,-0.007831305,0.120180488,0.008737472,0.011265555,0,0.083201408,15.2905312,15.17035071
3/29/2019,0,0.268093564,0.007123505,0.01127363,0.083200455,-0.036978722,15.51239995,15.24430638
4/1/2019,0.005464433,0.295826154,0.010280482,0.011899918,0.416006088,0.499206543,15.73426901,15.43844286
4/2/2019,0.027173924,0.203381801,0.011627621,0.012054903,-0.166402817,0.332803726,15.73426885,15.53088704
4/3/2019,-0.010582039,0.157157868,0.00933432,0.011913209,0.120179176,0.369782448,15.73426931,15.57711144
4/4/2019,0.007724282,0.221869621,0.009368932,0.010158989,0.073958397,0.027734756,15.77124679,15.54937717
4/5/2019,0.004717095,0.129425272,0.009367967,0.009878981,0.046222687,0.24036026,15.81747124,15.68804597
4/8/2019,0.00293426,0.120180475,0.006559752,0.008788069,-0.018490791,0.101690292,15.79898045,15.67879998
4/9/2019,-0.001170379,0.092446105,0.003209472,0.007729072,-0.110935211,-0.083203316,15.7435122,15.65106609
4/10/2019,-0.007029896,0.175647452,0.005829289,0.007885757,-0.092443466,-0.221869469,15.72502529,15.54937783
4/11/2019,-0.005899559,0.184890468,0.004701131,0.00757669,0.101688385,-0.101690292,15.78049149,15.59560102
4/12/2019,0.006528064,0.129425265,0.005456932,0.007537922,0.203381538,0.212626457,15.9006717,15.77124643
4/15/2019,0.012971754,0.194137001,0.007350532,0.007693768,-0.175648689,0.129421234,15.90067043,15.70653343
4/16/2019,-0.011059481,0.092446116,0.007374084,0.007647152,-0.027732849,0,15.72502452,15.63257841
4/17/2019,-0.001765689,0.147913082,0.007378134,0.007813015,-0.13866806,-0.342049599,15.67880082,15.53088773
4/18/2019,-0.008844303,0.194137017,0.007441006,0.008036093,-0.120179176,-0.286580086,15.57711121,15.3829742
4/22/2019,-0.007733472,0.092446122,0.004738348,0.007419627,-0.046222687,-0.305069923,15.41070981,15.31826369
4/23/2019,-0.002997589,0.231114407,0.010002328,0.008242067,0.212625504,0.04622364,15.58635616,15.35524176
4/24/2019,0.013830443,0.083199566,0.010007813,0.008204859,-0.04622364,0.120179176,15.60484428,15.52164471
4/25/2019,-0.002965648,0.110935692,0.009200043,0.00767323,-0.01848793,0.147913933,15.55862198,15.44768629
4/26/2019,-0.001189689,0.249602221,0.008600077,0.007851695,-0.083201408,-0.147912979,15.60484408,15.35524186
4/29/2019,-0.005360347,0.110935691,0.008498605,0.00776645,-0.009244919,-0.110934258,15.5031548,15.39221911
4/30/2019,-0.000598825,0.138668297,0.002829722,0.006755252,-0.018488884,-0.110935211,15.46617635,15.32750805
5/1/2019,-0.001198305,0.21262659,0.004876832,0.006858494,-0.157158852,-0.184892654,15.43844276,15.22581617
5/2/2019,-0.010198028,0.175647438,0.004734246,0.006969299,-0.083201408,-0.258849144,15.34599656,15.17034912
5/3/2019,-0.00545456,0.147913088,0.006473861,0.006802946,0.1016922,-0.13866806,15.33675308,15.18883999
5/6/2019,0.006703353,0.351293148,0.010180299,0.007559533,-0.129425049,-0.110934258,15.17035064,14.81905749
5/7/2019,-0.00847464,0.194135264,0.010847359,0.007702164,-0.194135666,-0.221868515,15.09639369,14.90225843
5/8/2019,-0.012820484,0.110935686,0.009601497,0.007709177,0.046220779,-0.277339935,15.0594149,14.94847921
5/9/2019,0.003092005,0.231113518,0.008233813,0.007599749,-0.13866806,-0.286582947,14.91150029,14.68038677
5/10/2019,-0.009247804,0.277336569,0.009523435,0.008190463,0.203381538,0.110934258,15.07790268,14.80056611
5/13/2019,0.013690164,0.221869624,0.007782834,0.008080473,-0.138669014,-0.073955536,14.99470239,14.77283277
5/14/2019,-0.009208128,0.184892224,0.005040352,0.007842804,0.240358353,0.305070877,15.2627951,15.07790288
5/15/2019,0.016109004,0.286581391,0.004222362,0.00804792,0.212626457,0.314315796,15.4476872,15.16110581
5/16/2019,0.01402447,0.21262484,0.003158644,0.007966116,0.110935211,0.563920021,15.49391066,15.28128582
5/17/2019,0.007215894,0.212624814,0.007377197,0.007977238,-0.305072784,0.018488884,15.33675094,15.12412613
5/20/2019,-0.019701606,0.203381788,0.00796137,0.00818454,0.064711571,-0.129426003,15.29052859,15.0871468
5/21/2019,0.004263064,0.147913073,0.008156252,0.007682236,0.138669014,-0.1016922,15.40146325,15.25355017
5/22/2019,0.009096447,0.194137032,0.00975315,0.007957134,-0.166400909,0.036979675,15.35524283,15.16110579
5/23/2019,-0.010817213,0.147913067,0.009147024,0.007973469,-0.036979675,-0.064711571,15.21657047,15.0686574
5/24/2019,-0.002430224,0.184892224,0.008467399,0.007953698,-0.175646782,-0.379027367,15.11488199,14.92998977
5/28/2019,-0.011571244,0.147913089,0.006827951,0.008103282,-0.036975861,-0.249602318,15.08714917,14.93923608
5/29/2019,-0.002464409,0.305070938,0.009499848,0.008669687,0.203378677,-0.009243965,15.19808348,14.89301255
5/30/2019,0.0135885,0.240359206,0.010761538,0.008895527,-0.221868515,-0.055465698,15.17035024,14.92999103
5/31/2019,-0.014625142,0.1386683,0.011329863,0.008590116,0.018489838,0,15.00394783,14.86527953
6/3/2019,0.001236904,0.212625706,0.011268822,0.008755827,-0.110937119,-0.314315796,14.95772423,14.74509852
6/4/2019,-0.007412129,0.1294235,0.01173041,0.008493404,0.157157898,0.064710617,15.01319122,14.88376772
6/5/2019,0.010578725,0.175647435,0.009256846,0.008222701,-0.018489838,0.027730942,15.11488186,14.93923442
6/6/2019,-0.001231573,0.138668293,0.006302548,0.008215755,-0.009243965,0.129424095,15.01319178,14.87452349
6/7/2019,-0.000616482,0.157157869,0.006908504,0.00834286,0.147914886,0.120181084,15.17959448,15.02243661
6/10/2019,0.009870562,0.101690894,0.005896106,0.007995027,-0.036980629,0.101690292,15.18883779,15.08714689
6/11/2019,-0.002443648,0.110933929,0.004577052,0.007995431,0.036980629,0.147914886,15.23506145,15.12412752
6/12/2019,0.002449634,0.147913078,0.004853745,0.007990819,-0.101691246,-0.101691246,15.12412718,14.9762141
6/13/2019,-0.006719669,0.083201324,0.004912549,0.007798029,-0.036979675,-0.101690292,15.04092532,14.957724
6/14/2019,-0.002460116,0.12018048,0.001958929,0.007571133,0.055469513,-0.083201408,15.11488265,14.99470217
6/17/2019,0.003699274,0.129425256,0.002914882,0.00741524,-0.184893608,-0.16640377,14.97621297,14.84678772
6/18/2019,-0.01228515,0.1109357,0.00347864,0.007034171,0.046224594,-0.083199501,14.94848104,14.83754534
6/19/2019,0.003109568,0.147913073,0.00583012,0.007090309,0.166400909,0.027731895,15.07790279,14.92998972
6/20/2019,0.011159232,0.092444358,0.00575145,0.006902496,0.120182037,0.332807541,15.22581743,15.13337308
6/21/2019,0.00797074,0.07395654,0.005941846,0.006902585,-0.064712524,0.221870422,15.1703497,15.09639315
6/24/2019,-0.004257939,0.083201333,0.00405258,0.006777536,0.083200455,0.138669968,15.24430713,15.16110579
6/25/2019,0.005497813,0.120180475,0.006028676,0.006806317,-0.129425049,-0.110937119,15.1980834,15.07790293
6/26/2019,-0.008505532,0.166402656,0.005042052,0.006052667,-0.036976814,-0.083201408,15.16110483,14.99470217
6/27/2019,-0.002450882,0.258848772,0.006430925,0.005997092,-0.231114388,-0.397516251,15.04092613,14.78207736
6/28/2019,-0.015356263,0.203380043,0.006600236,0.005843334,-0.009244919,-0.277336121,14.98545727,14.78207723
7/1/2019,-0.000623853,0.138668309,0.006045525,0.005748193,0.231116295,-0.009243011,15.07790528,14.93923697
7/2/2019,0.01560562,0.120180474,0.006192624,0.005249313,0.036974907,0.258846283,15.13337152,15.01319104
7/3/2019,0.002458286,0.083201327,0.006202612,0.005222046,-0.046221733,0.221869469,15.05017064,14.96696931
7/5/2019,-0.003065528,0.12018048,0.002235199,0.005265856,0.018489838,0.009243011,15.13337223,15.01319175
7/8/2019,0.001230058,0.138668283,0.002706045,0.00483509,-0.157158852,-0.184890747,14.99470118,14.8560329
7/9/2019,-0.01044233,0.08320132,0.002710678,0.004905697,-0.027734756,-0.16640377,14.87452208,14.79132076
7/10/2019,-0.001862266,0.166402647,0.005588502,0.005477854,0.194137573,0.009243965,15.09639225,14.9299896
7/11/2019,0.013059802,0.157157861,0.006221999,0.005502273,-0.055468559,0.110934258,15.13337157,14.97621371
7/12/2019,-0.003683314,0.194137017,0.008124071,0.006324627,0.184892654,0.323561668,15.19808375,15.00394673
7/15/2019,0.012322935,0.166402676,0.008863524,0.006504805,-0.147911072,-0.018486977,15.16110662,14.99470394
7/16/2019,-0.009738142,0.138668301,0.009211085,0.006622034,0.175644875,0.212626457,15.22581755,15.08714925
7/17/2019,0.011677795,0.231114399,0.009691191,0.006840571,-0.129425049,-0.101691246,15.21657121,14.98545681
7/18/2019,-0.008505532,0.19413702,0.009259192,0.006443429,-0.036976814,0.009243011,15.10563786,14.91150084
7/19/2019,-0.002450882,0.138668293,0.007240903,0.006548555,0.083201408,-0.083200455,15.19808406,15.05941577
7/22/2019,0.00552827,0.129423513,0.006231063,0.0065454,0.009243965,0.055468559,15.17959543,15.05017191
