date,Lagged_Return_1d,High_Low_Range,Range_Change,Volatility_5d,Volatility_20d,Volume,Volume_Change,Volume_MA5,Volume_MA20,Low,High
1/31/2022,0.008740323,0.263225662,0.02820173,0.052510181,0.085318772,123000,-0.391089109,237320,325560,18.3600706,18.62329626
2/1/2022,0.009683947,0.206822221,-0.056403441,0.051490373,0.081743793,123900,0.007317073,175100,313725,18.46348068,18.6703029
2/2/2022,0.002524077,0.178616898,-0.028205323,0.050886297,0.080228931,112100,-0.095238095,159960,298220,18.60449536,18.78311225
2/3/2022,0.006042181,0.103411105,-0.075205792,0.06128636,0.082244373,243900,1.17573595,160980,294635,18.52928618,18.63269728
2/4/2022,-0.00800799,0.112812286,0.009401181,0.066673336,0.083412398,108100,-0.556785568,142200,288650,18.49168459,18.60449687
2/7/2022,-0.00151349,0.094009931,-0.018802355,0.050363017,0.08277282,165100,0.527289547,150620,288890,18.51048533,18.60449526
2/8/2022,-8.68E-08,0.122213453,0.028203522,0.033236642,0.084276415,208100,0.260448213,167460,277920,18.37887138,18.50108484
2/9/2022,-0.005558357,0.150415189,0.028201736,0.021642429,0.084276415,420200,1.019221528,229080,287590,18.6797049,18.83012009
2/10/2022,0.017784646,0.197419241,0.047004052,0.040215253,0.084276409,168400,-0.599238458,213980,289000,18.58569283,18.78311207
2/11/2022,-0.002496427,0.235023936,0.037604695,0.056795693,0.084767579,283300,0.682304038,249020,288275,18.42587692,18.66090085
2/14/2022,-0.006506441,0.178618701,-0.056405235,0.043284864,0.083600386,252500,-0.108718673,266500,292665,18.1720514,18.3506701
2/15/2022,-0.016624639,0.131612833,-0.047005868,0.040435135,0.079434959,102200,-0.595247525,245320,269325,18.41647607,18.54808891
2/16/2022,0.010758125,0.216221597,0.084608765,0.039662761,0.079219456,59800,-0.414872798,173240,247530,18.44467983,18.66090143
2/17/2022,0.006082164,0.1786187,-0.037602897,0.039884952,0.079219456,281700,3.710702341,195900,244780,18.57629281,18.75491151
2/18/2022,0.005037811,0.103409315,-0.075209386,0.044294839,0.080551442,114800,-0.592474263,162200,225645,18.604496,18.70790532
2/22/2022,-0.002506341,0.225624582,0.122215267,0.052930815,0.055314808,286900,1.49912892,169080,205880,18.29426436,18.51988895
2/23/2022,-0.010050103,0.225622749,-1.83E-06,0.052089091,0.05427061,222600,-0.224119902,193160,195260,18.46347869,18.68910144
2/24/2022,0.009136798,0.460646705,0.235023955,0.13371202,0.082604212,423100,0.900718778,265820,207025,17.89002286,18.35066956
2/25/2022,-0.018108515,0.103411103,-0.357235602,0.145851294,0.083840836,219100,-0.482155519,253300,206040,18.34126771,18.44467881
2/28/2022,0.005122933,0.122213453,0.01880235,0.142168684,0.084173024,193900,-0.115015974,269120,205635,18.2472586,18.36947206
3/1/2022,-0.004077423,0.178618705,0.056405252,0.143868031,0.081891678,142500,-0.265085095,240240,206610,18.24725944,18.42587814
3/2/2022,0.003070643,0.178618702,-3.48E-09,0.144786554,0.081580084,176800,0.240701754,231080,209255,18.23785791,18.41647661
3/3/2022,-0.000510235,0.150415173,-0.028203529,0.033633761,0.081755233,134200,-0.240950226,173300,210360,18.53868705,18.68910222
3/4/2022,0.014803353,0.131612845,-0.018802327,0.02608668,0.080720342,134400,0.001490313,156360,204885,18.36947375,18.5010866
3/7/2022,-0.010060174,0.263227489,0.131614644,0.050363595,0.081637185,221100,0.645089286,161800,210535,18.06864196,18.33186945
3/8/2022,-0.009146336,0.159816354,-0.103411135,0.051233489,0.079177171,232500,0.05156038,179800,213905,17.80541453,17.96523088
3/9/2022,-0.020000064,0.159816339,-1.51E-08,0.051748395,0.078029183,170200,-0.267956989,178480,212010,17.86181808,18.02163442
3/10/2022,0.003139594,0.25382629,0.094009952,0.060415754,0.078860818,184500,0.084018801,188540,200225,17.79601336,18.04983965
3/11/2022,0.001565076,0.347834431,0.094008141,0.079325064,0.086166543,258500,0.401084011,213360,204730,17.41997528,17.76780971
3/14/2022,-0.015625066,0.225622762,-0.12221167,0.077976589,0.085992271,292200,0.130367505,227580,205175,17.05333608,17.27895884
3/15/2022,-0.027513288,0.235023944,0.009401182,0.0677909,0.086186785,293000,0.002737851,239680,207200,17.10974384,17.34476778
3/16/2022,0.003808617,0.319632692,0.084608748,0.054249012,0.088266484,331100,0.13003413,271860,218645,17.34476696,17.66439965
3/17/2022,0.018428144,0.12221345,-0.197419243,0.088837212,0.090504097,252600,-0.237088493,285480,228285,17.44817632,17.57038977
3/18/2022,-0.005321997,0.244425096,0.122211646,0.070538188,0.090602985,151400,-0.400633413,264060,221770,17.48578029,17.73020539
3/21/2022,0.009095735,0.244425107,1.09E-08,0.070788314,0.087248684,183500,0.212021136,242320,225205,17.84301666,18.08744177
3/22/2022,0.020148463,0.178618684,-0.065806423,0.074794908,0.087654238,148600,-0.190190736,213440,218290,17.98402984,18.16264852
3/23/2022,0.004157954,0.131614625,-0.047004059,0.058933889,0.089570168,104700,-0.295423957,168160,212395,18.05923858,18.19085321
3/24/2022,0.001552895,0.122213464,-0.009401161,0.058933886,0.069578834,112500,0.074498567,140140,196865,18.00283506,18.12504852
3/25/2022,-0.00361746,0.103411112,-0.018802351,0.056639995,0.069578833,102300,-0.090666667,130320,191025,17.94642907,18.04984019
3/28/2022,-0.004149414,0.216221591,0.112810478,0.046054591,0.06764676,225600,1.205278592,138740,192610,17.65499873,17.87122032
3/29/2022,-0.009895925,0.131612822,-0.084608769,0.043589992,0.069168228,115100,-0.489804965,132040,191240,17.86181794,17.99343076
3/30/2022,0.006838394,0.14101579,0.009402968,0.043284845,0.070169662,222800,0.93570808,155660,193540,17.75840721,17.899423
3/31/2022,-0.00522456,0.216221606,0.075205817,0.051662072,0.069552092,82800,-0.628366248,149720,190970,17.70200407,17.91822568
4/1/2022,0.001050463,0.141014002,-0.075207605,0.043080321,0.069114324,135800,0.640096618,156420,191040,17.93702659,18.0780406
4/4/2022,0.008919126,0.169215741,0.02820174,0.034541026,0.067617498,203700,0.5,152040,190170,18.13444924,18.30366498
4/5/2022,0.012480577,0.2068222,0.037606459,0.035549981,0.067212143,150700,-0.260186549,159160,186080,18.06863859,18.27546079
4/6/2022,-0.001540904,0.23502396,0.02820176,0.037955137,0.067212136,189000,0.254147313,152400,187020,17.88062334,18.1156473
4/7/2022,-0.008744704,0.178618703,-0.056405258,0.036044248,0.066095551,101700,-0.461904762,156180,182880,17.78661248,17.96523118
4/8/2022,-0.008303105,0.112810485,-0.065808218,0.045766977,0.057989392,146000,0.435594887,158220,177255,17.63619629,17.74900677
4/11/2022,-0.012035716,0.131614629,0.018804144,0.050887147,0.058229504,253300,0.734931507,168140,175310,17.52338484,17.65499947
4/12/2022,-0.005296483,0.122213457,-0.009401172,0.050886853,0.057989341,92300,-0.635609949,156460,165275,17.43877616,17.56098962
4/13/2022,-0.005324828,0.282029823,0.159816367,0.069909619,0.053430652,115300,0.249187432,141720,154485,17.36356925,17.64559907
4/14/2022,0.004818034,0.169215715,-0.112814108,0.069592818,0.052164252,100500,-0.128360798,141480,146880,17.42937469,17.59859041
4/18/2022,-0.002664044,0.37603796,0.206822244,0.109632813,0.06755747,197200,0.962189055,151720,149170,16.92172432,17.29776228
4/19/2022,-0.017093877,0.11281049,-0.263227469,0.113514581,0.067412781,326700,0.656693712,166400,156330,16.62089378,16.73370427
4/20/2022,-0.032608727,0.159816349,0.047005858,0.107105379,0.067474851,229700,-0.296908479,193880,160385,16.45167556,16.61149191
4/21/2022,-0.007303365,0.16921754,0.009401191,0.102552474,0.066781966,315600,0.373966043,233940,170930,16.31066337,16.47988091
4/22/2022,-0.007922889,0.216221597,0.047004057,0.101469434,0.066187309,184800,-0.414448669,250800,174545,16.22605324,16.44227484
